Rk,Player,Name,Tag,Season,Age,Tm,Lg,PTS,TS%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
87,Paul Westphal\westppa01,Paul Westphal,westppa01,1977-78,27,PHO,NBA,35,0.565,9.8,80,,2481,809,1568,809,1568,,,396,487,41,123,164,437,138,31,280,162,2014,0.516,0.516,,0.516,0.813
88,Manu Ginobili\ginobma01,Manu Ginobili,ginobma01,2009-10,32,SAS,NBA,30.1,0.584,9.7,75,21,2150,398,903,266,553,132,350,309,355,68,216,284,370,103,24,154,154,1237,0.441,0.481,0.377,0.514,0.87
89,Isaiah Thomas\thomais02,Isaiah Thomas,thomais02,2015-16,26,BOS,NBA,33.6,0.562,9.7,82,79,2644,591,1382,424,917,167,465,474,544,46,197,243,509,91,9,220,167,1823,0.428,0.462,0.359,0.488,0.871
90,Sam Cassell\cassesa01,Sam Cassell,cassesa01,2002-03,33,MIL,NBA,30.2,0.565,9.6,78,77,2700,546,1162,487,999,59,163,385,447,57,285,342,450,88,14,177,216,1536,0.47,0.487,0.362,0.495,0.861
91,Tony Parker\parketo01,Tony Parker,parketo01,2005-06,23,SAS,NBA,30.2,0.584,9.6,80,80,2715,623,1136,612,1100,11,36,253,358,38,223,261,460,83,4,249,161,1510,0.548,0.556,0.306,0.553,0.707
92,Tony Parker\parketo01,Tony Parker,parketo01,2006-07,24,SAS,NBA,30.6,0.572,9.6,77,77,2499,570,1096,555,1058,15,38,274,350,34,216,250,420,82,6,191,137,1429,0.52,0.525,0.395,0.527,0.783
93,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2012-13,31,MIA,NBA,32.4,0.571,9.6,69,69,2391,569,1093,552,1027,17,66,308,425,86,258,344,352,128,56,194,140,1463,0.521,0.537,0.258,0.528,0.725
94,Ray Allen\allenra02,Ray Allen,allenra02,2005-06,30,SEA,NBA,33.9,0.59,9.5,78,78,3022,681,1500,412,847,269,653,324,359,71,261,332,286,105,16,188,151,1955,0.454,0.486,0.412,0.544,0.903
95,Kevin Martin\martike02,Kevin Martin,martike02,2010-11,27,HOU,NBA,36.7,0.601,9.5,80,80,2603,553,1267,377,808,176,459,594,669,28,230,258,198,80,15,184,155,1876,0.436,0.467,0.383,0.506,0.888
96,Jim Paxson\paxsoji02,Jim Paxson,paxsoji02,1983-84,26,POR,NBA,30.4,0.573,9.5,81,81,2686,680,1322,663,1263,17,59,345,410,68,105,173,251,122,10,142,165,1722,0.514,0.525,0.288,0.521,0.841
97,David Thompson\thompda01,David Thompson,thompda01,1978-79,24,DEN,NBA,31,0.567,9.5,76,,2670,693,1353,693,1353,,,439,583,109,165,274,225,70,82,186,180,1825,0.512,0.512,,0.512,0.753
98,Walter Davis\daviswa03,Walter Davis,daviswa03,1978-79,24,PHO,NBA,33.9,0.606,9.4,79,,2437,764,1362,764,1362,,,340,409,111,262,373,339,147,26,293,250,1868,0.561,0.561,,0.561,0.831
99,George Gervin\gervige01,George Gervin,gervige01,1982-83,30,SAS,NBA,33.5,0.561,9.4,78,78,2830,757,1553,745,1520,12,33,517,606,111,246,357,264,88,67,247,243,2043,0.487,0.49,0.364,0.491,0.853
100,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1986-87,26,SEA,NBA,31.3,0.588,9.3,82,76,3073,785,1520,699,1280,86,240,385,489,187,260,447,238,104,32,238,267,2041,0.516,0.546,0.358,0.545,0.787
101,Tony Parker\parketo01,Tony Parker,parketo01,2012-13,30,SAS,NBA,31.4,0.588,9.3,66,66,2174,519,995,495,927,24,68,279,330,18,180,198,499,54,6,170,92,1341,0.522,0.534,0.353,0.534,0.845
102,Mitch Richmond\richmmi01,Mitch Richmond,richmmi01,1995-96,30,SAC,NBA,32.7,0.591,9.3,81,81,2946,611,1368,386,853,225,515,425,491,54,215,269,255,125,19,220,233,1872,0.447,0.453,0.437,0.529,0.866
103,Damian Lillard\lillada01,Damian Lillard,lillada01,2015-16,25,POR,NBA,35.1,0.56,9.2,75,75,2676,618,1474,389,864,229,610,414,464,45,257,302,512,65,28,242,165,1879,0.419,0.45,0.375,0.497,0.892
104,Ray Allen\allenra02,Ray Allen,allenra02,2002-03,27,TOT,NBA,31.9,0.565,9.1,76,75,2880,598,1363,397,830,201,533,316,345,94,287,381,334,103,14,198,220,1713,0.439,0.478,0.377,0.512,0.916
105,Joe Dumars\dumarjo01,Joe Dumars,dumarjo01,1992-93,29,DET,NBA,30.1,0.555,9.1,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,0.466,0.489,0.375,0.504,0.864
106,Brandon Roy\roybr01,Brandon Roy,roybr01,2009-10,25,POR,NBA,31.6,0.568,9.1,65,65,2419,491,1038,418,817,73,221,343,440,73,212,285,305,61,16,129,136,1398,0.473,0.512,0.33,0.508,0.78
107,DeMar DeRozan\derozde01,DeMar DeRozan,derozde01,2016-17,27,TOR,NBA,39.1,0.552,9,74,74,2620,721,1545,688,1421,33,124,545,647,70,316,386,290,78,13,180,134,2020,0.467,0.484,0.266,0.477,0.842
108,Dale Ellis\ellisda01,Dale Ellis,ellisda01,1987-88,27,SEA,NBA,33.3,0.572,9,75,73,2790,764,1519,657,1260,107,259,303,395,167,173,340,197,74,11,172,221,1938,0.503,0.521,0.413,0.538,0.767
109,Ray Allen\allenra02,Ray Allen,allenra02,2001-02,26,MIL,NBA,31.7,0.598,8.9,69,67,2525,530,1148,301,620,229,528,214,245,81,231,312,271,88,18,159,157,1503,0.462,0.485,0.434,0.561,0.873
110,Kyrie Irving\irvinky01,Kyrie Irving,irvinky01,2016-17,24,CLE,NBA,35.9,0.58,8.9,72,72,2525,671,1420,494,979,177,441,297,328,52,178,230,418,83,24,180,157,1816,0.473,0.505,0.401,0.535,0.905
111,Klay Thompson\thompkl01,Klay Thompson,thompkl01,2014-15,24,GSW,NBA,33.2,0.591,8.8,77,77,2455,602,1299,363,754,239,545,225,256,27,220,247,222,87,60,149,122,1668,0.463,0.481,0.439,0.555,0.879
112,Dwyane Wade\wadedw01,Dwyane Wade,wadedw01,2006-07,25,MIA,NBA,38.6,0.583,8.8,51,50,1931,472,962,451,883,21,79,432,535,51,188,239,384,107,62,216,117,1397,0.491,0.511,0.266,0.502,0.807
